product_id,product_name,product_category,product_image,product_deeplink
pulsego-s25-024,Canvan jatkokurssi,Digiosaaminen,https://www.xamk.fi/app/uploads/sites/2/2025/08/Canvan-jatkokurssi-PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-canvan-jatkokurssi-nonstop-aloitus-3-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=digiosaaminen
pulsego-s25-025,Verkko- ja some-analytiikka,Digiosaaminen,https://www.xamk.fi/app/uploads/sites/2/2025/08/Verkko-ja-some-analytiikka-PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-verkko-ja-some-analytiikka-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=digiosaaminen
pulsego-s25-026,Explore the fundamentals of HTML and CSS,Digiosaaminen,https://www.xamk.fi/app/uploads/sites/2/2025/08/Explore-the-fundamentals-of-HTML-and-CSS-PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-explore-the-fundamentals-of-html-and-css-nonstop-start-5-ects-cr-2/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=digiosaaminen
pulsego-s25-027,Tietokannat ja SQL,Digiosaaminen,https://www.xamk.fi/app/uploads/sites/2/2025/08/Tietokannat-ja-SQL-PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-tietokannat-ja-sql-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=digiosaaminen
pulsego-s25-028,Tekijänoikeuden perusteet,Digiosaaminen,https://www.xamk.fi/app/uploads/sites/2/2025/08/Tekijanoikeuden-perusteet-PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-tekijanoikeuden-perusteet-nonstop-aloitus-2-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=digiosaaminen
pulsego-s25-029,Työelämän ja opintojen digitaidot,Digiosaaminen,https://www.xamk.fi/app/uploads/sites/2/2025/08/Tyoelaman-ja-opintojen-digitaidot-PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-tyoelaman-ja-opintojen-digitaidot-nonstop-aloitus-3-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=digiosaaminen
pulsego-s25-030,"Arvopaperisijoittaminen 1 – Markkinat, talous ja sijoitustuotteet",Liiketalous,https://www.xamk.fi/app/uploads/sites/2/2025/08/Arvopaperisijoittaminen-1-Markkinat-talous-ja-sijoitustuotteet-PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-arvopaperisijoittaminen-1-markkinat-talous-ja-sijoitustuotteet-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=liiketalous
pulsego-s25-031,"Arvopaperisijoittaminen 2 – Sijoituspalvelut, verotus ja lainsäädäntö",Liiketalous,https://www.xamk.fi/app/uploads/sites/2/2025/08/Arvopaperisijoittaminen-2-Sijoituspalvelut-verotus-ja-lainsaadanto-PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-arvopaperisijoittaminen-2-sijoituspalvelut-verotus-ja-lainsaadanto-nonstop-aloitus/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=liiketalous
pulsego-s25-032,Markkinointijuridiikan perusteet,Liiketalous,https://www.xamk.fi/app/uploads/sites/2/2025/08/Markkinointijuridiikan-perusteet-PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-markkinointijuridiikan-perusteet-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=liiketalous
pulsego-s25-033,Talousnäkökulma lähijohtamisessa,Liiketalous,https://www.xamk.fi/app/uploads/sites/2/2025/08/Talousnakokulma-lahijohtamisessa-PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-talousnakokulma-lahijohtamisessa-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=liiketalous
